slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
gallida01,Danilo Gallinari,POWER FORWARD,31,OKLAHOMA CITY THUNDER,62,1834,19.5,0.612,0.537,0.365,2.1,16.8,9.7,10.3,1.1,0.2,7.4,24.6,4.5,1.9,6.3,0.166,4.1,-0.9,3.3,2.4,False
gallola01,Langston Galloway,SHOOTING GUARD,28,DETROIT PISTONS,66,1702,12.3,0.584,0.611,0.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,2.4,0.7,3.1,0.087,0.0,-0.9,-0.8,0.5,False
garlada01,Darius Garland,SHOOTING GUARD,20,CLEVELAND CAVALIERS,59,1824,8.5,0.498,0.423,0.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0.0,-1.3,-0.034,-2.7,-2.8,-5.6,-1.7,False
gasolma01,Marc Gasol,CENTER,35,TORONTO RAPTORS,44,1161,11.8,0.551,0.53,0.176,2.9,21.7,12.5,17.3,1.4,3.2,16.4,13.2,0.8,2.2,3.0,0.124,-1.2,2.8,1.6,1.1,False
gayru01,Rudy Gay,POWER FORWARD,33,SAN ANTONIO SPURS,67,1461,15.4,0.553,0.369,0.228,4.5,22.2,13.4,11.3,1.1,2.0,11.8,22.0,0.9,1.1,2.1,0.068,0.0,-0.9,-0.8,0.4,False
georgpa01,Paul George,SMALL FORWARD,29,LOS ANGELES CLIPPERS,48,1419,21.1,0.589,0.487,0.277,1.8,17.7,10.0,21.1,2.3,1.2,12.5,29.6,2.5,2.3,4.8,0.161,3.8,1.1,4.9,2.5,False
gibsota01,Taj Gibson,CENTER,34,NEW YORK KNICKS,62,1025,16.1,0.61,0.049,0.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,1.8,0.8,2.6,0.12,-0.8,-0.3,-1.1,0.2,False
gilesha01,Harry Giles,CENTER,21,SACRAMENTO KINGS,46,667,16.4,0.58,0.008,0.195,7.1,25.1,15.9,14.2,1.6,2.6,13.9,20.6,0.8,0.8,1.6,0.112,-2.2,0.9,-1.3,0.1,False
gilgesh01,Shai Gilgeous-Alexander,SHOOTING GUARD,21,OKLAHOMA CITY THUNDER,70,2428,17.7,0.568,0.247,0.352,2.2,16.1,9.4,15.2,1.6,1.7,10.3,23.7,3.1,3.0,6.1,0.121,1.3,0.4,1.7,2.2,False
goberru01,Rudy Gobert,CENTER,27,UTAH JAZZ,68,2333,21.7,0.699,0.0,0.724,11.2,31.3,21.6,6.5,1.1,4.8,15.0,16.2,6.5,4.2,10.7,0.221,1.7,1.9,3.6,3.3,False
goodwbr01,Brandon Goodwin,POINT GUARD,24,ATLANTA HAWKS,34,430,11.6,0.507,0.458,0.158,2.7,15.5,9.0,18.0,1.3,0.8,12.5,22.4,-0.1,0.2,0.1,0.013,-1.6,-1.3,-2.9,-0.1,False
gordoaa01,Aaron Gordon,POWER FORWARD,24,ORLANDO MAGIC,62,2017,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,False
gordoer01,Eric Gordon,SMALL FORWARD,31,HOUSTON ROCKETS,36,1016,10.3,0.51,0.654,0.231,0.9,6.5,3.7,7.9,1.0,1.1,7.8,22.5,-0.1,0.6,0.5,0.024,-1.8,-2.1,-3.9,-0.5,False
grahade01,Devonte' Graham,POINT GUARD,24,CHARLOTTE HORNETS,63,2211,15.8,0.537,0.607,0.242,2.0,8.7,5.2,35.3,1.4,0.6,14.5,24.8,2.4,0.9,3.4,0.073,2.5,-2.1,0.5,1.4,False
grahatr01,Treveon Graham,SMALL FORWARD,26,MINNESOTA TIMBERWOLVES,33,663,6.0,0.447,0.474,0.211,4.5,11.7,8.0,6.1,1.2,0.3,9.0,13.1,-0.3,0.3,0.1,0.004,-5.0,-0.8,-5.8,-0.6,False
grahatr01,Treveon Graham,SMALL FORWARD,26,ATLANTA HAWKS,22,266,8.0,0.478,0.552,0.284,8.8,11.5,10.1,7.6,1.2,1.3,11.7,13.3,0.0,0.1,0.1,0.022,-3.3,-1.7,-4.9,-0.2,False
grantje01,Jerami Grant,POWER FORWARD,25,DENVER NUGGETS,71,1892,14.4,0.591,0.397,0.309,3.4,11.2,7.3,6.6,1.3,2.8,8.0,18.0,2.8,1.6,4.4,0.111,0.1,-0.6,-0.5,0.7,False
grantje02,Jerian Grant,SHOOTING GUARD,27,WASHINGTON WIZARDS,6,80,6.6,0.449,0.296,0.259,2.6,5.7,4.1,15.3,0.6,1.1,9.1,17.2,0.0,0.0,0.0,-0.018,-4.8,-2.0,-6.8,-0.1,False
grayjo01,Josh Gray,POINT GUARD,26,NEW ORLEANS PELICANS,2,23,-5.0,0.5,0.0,0.0,4.6,4.6,4.6,10.4,0.0,0.0,71.4,12.5,-0.1,0.0,-0.1,-0.226,-11.3,-4.7,-16.0,-0.1,False
greenda02,Danny Green,SHOOTING GUARD,32,LOS ANGELES LAKERS,68,1687,10.8,0.552,0.69,0.101,3.3,11.2,7.3,7.1,2.4,1.7,11.3,13.9,0.8,2.5,3.4,0.096,-1.1,1.5,0.5,1.1,False
greendr01,Draymond Green,POWER FORWARD,29,GOLDEN STATE WARRIORS,43,1222,12.5,0.489,0.408,0.263,2.0,22.3,11.8,31.2,2.3,2.4,21.8,15.7,-0.2,1.3,1.1,0.044,-2.1,1.9,-0.2,0.6,False
greenja01,JaMychal Green,POWER FORWARD,29,LOS ANGELES CLIPPERS,63,1307,11.1,0.576,0.676,0.136,6.3,24.1,15.4,5.0,1.0,1.6,12.6,13.7,1.1,2.0,3.1,0.115,-1.2,0.7,-0.5,0.5,False
greenja02,Javonte Green,SHOOTING GUARD,26,BOSTON CELTICS,48,468,13.1,0.564,0.262,0.333,5.6,15.6,10.6,7.7,2.5,1.6,13.7,15.3,0.4,0.8,1.1,0.113,-2.1,1.4,-0.7,0.2,False
greenje02,Jeff Green,POWER FORWARD,33,UTAH JAZZ,30,553,10.0,0.523,0.533,0.323,2.9,12.9,8.1,5.2,1.1,1.5,10.8,19.7,0.0,0.5,0.5,0.046,-1.9,-0.2,-2.1,0.0,False
greenje02,Jeff Green,CENTER,33,HOUSTON ROCKETS,18,407,18.6,0.682,0.53,0.188,2.6,10.9,6.7,11.5,1.6,1.9,8.5,17.9,1.2,0.4,1.5,0.183,2.5,0.1,2.6,0.5,False
griffbl01,Blake Griffin,POWER FORWARD,30,DETROIT PISTONS,18,512,11.9,0.476,0.444,0.392,3.7,15.0,9.3,18.0,0.7,1.1,12.0,28.4,-0.4,0.3,-0.1,-0.012,-1.7,-2.6,-4.3,-0.3,False
gudurma01,Marko Guduric,SHOOTING GUARD,24,MEMPHIS GRIZZLIES,44,484,8.8,0.514,0.529,0.166,3.1,12.6,7.9,12.3,1.2,1.4,17.6,17.6,-0.3,0.4,0.1,0.014,-2.7,-0.7,-3.4,-0.2,False
guyky01,Kyle Guy,SHOOTING GUARD,22,SACRAMENTO KINGS,3,10,6.6,0.4,0.6,0.0,0.0,11.5,5.6,15.6,0.0,0.0,0.0,21.7,0.0,0.0,0.0,-0.045,-7.5,-4.8,-12.3,0.0,False
hachiru01,Rui Hachimura,POWER FORWARD,21,WASHINGTON WIZARDS,48,1444,13.5,0.535,0.16,0.257,5.7,17.0,11.1,8.8,1.2,0.5,8.0,19.0,1.3,0.5,1.8,0.06,-1.2,-2.0,-3.2,-0.4,False
hallde01,Devon Hall,POINT GUARD,24,OKLAHOMA CITY THUNDER,11,81,3.1,0.298,0.567,0.267,2.8,6.6,4.8,21.3,2.4,1.1,13.0,20.9,-0.3,0.1,-0.2,-0.116,-5.8,-0.6,-6.4,-0.1,False
halldo01,Donta Hall,POWER FORWARD,22,DETROIT PISTONS,4,48,7.3,0.452,0.0,1.5,14.0,21.6,17.7,5.3,1.0,1.7,23.1,7.9,0.0,0.0,0.1,0.067,-5.7,-1.3,-7.0,-0.1,False
halldo01,Donta Hall,CENTER,22,BROOKLYN NETS,5,85,17.2,0.709,0.0,0.667,9.9,17.9,14.0,3.5,1.1,4.9,11.4,12.9,0.2,0.1,0.3,0.177,-2.1,0.3,-1.8,0.0,False
hannadu01,Dusty Hannahs,SHOOTING GUARD,26,MEMPHIS GRIZZLIES,2,13,21.3,0.607,0.333,0.222,0.0,8.0,4.1,0.0,0.0,0.0,0.0,31.6,0.0,0.0,0.0,0.146,5.1,-2.1,3.1,0.0,False
